issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
WR2,20240730123253Z,20241022123252Z,06:5E:3B:66:39:0A:5D:3C:7C:E5:1F:27:34:24:42:60:64:53:B3:D9:8E:4D:4E:97:F5:B7:08:B5:9D:19:0A:0A,3600,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,google.com,Search Engines
WR2,20240730124908Z,20241022124907Z,22:A5:E1:80:F8:D7:E5:ED:42:02:96:9F:73:06:5D:A7:4D:BC:C7:FA:7E:56:E2:C5:E3:01:6E:8D:FA:91:41:CC,6644,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googleapis.com,Content Servers;Personal Blogs
,,,,,,,,[Errno 11001] getaddrinfo failed,root-servers.net,Technology
Apple Public EV Server ECC CA 1 - G1,20240725193219Z,20241023194219Z,07:BA:9A:5B:1F:62:43:B1:67:B6:7C:4E:AB:C8:FB:91:6F:B4:E3:B1:2D:09:C2:51:26:7C:5C:76:0C:31:68:1A,1476,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,apple.com,Information Technology;Technology
WR2,20240730124930Z,20241022124929Z,22:1D:02:6C:BF:DD:4A:D4:72:18:13:7E:15:9C:D9:F9:D8:70:14:BE:14:0C:8A:0C:4B:F9:D6:F3:2A:56:90:6A,1147,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,gstatic.com,Content Servers
DigiCert SHA2 High Assurance Server CA,20240525000000Z,20240823235959Z,AE:61:3C:C3:EA:0F:10:AD:BE:A2:2F:7F:B5:8C:CC:D8:74:27:DA:31:7E:34:F0:64:67:BA:2E:D2:FF:5B:CC:75,1692,256,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",,facebook.com,Social Networks
,,,,,,,,[Errno 11001] getaddrinfo failed,tiktokcdn.com,Content Servers;Social Networks
Microsoft Azure RSA TLS Issuing CA 03,20240619103741Z,20250614103741Z,4D:BD:67:4B:57:E4:0F:2D:DF:36:A5:53:1E:CE:06:47:5E:A2:E0:6B:2C:80:67:C2:04:BE:BB:1F:AE:9C:50:A4,5591,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,microsoft.com,Information Technology;Business
,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it,amazonaws.com,Technology
,,,,,,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'googlevideo.com'. (_ssl.c:1000)",googlevideo.com,Search Engines;Video Streaming
