rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Personal Blogs
3,root-servers.net,Technology
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,tiktokcdn.com,Content Servers;Social Networks
8,microsoft.com,Information Technology;Business
9,amazonaws.com,Technology
10,googlevideo.com,Search Engines;Video Streaming
11,cloudflare.com,Technology
12,fbcdn.net,Social Networks
13,doubleclick.net,Advertisements
14,youtube.com,Video Streaming
15,icloud.com,File Sharing;Content Servers
16,whatsapp.net,Instant Messengers;Internet Phone & VOIP
17,apple-dns.net,Content Servers
18,instagram.com,Social Networks
19,googleusercontent.com,Content Servers
20,amazon.com,Ecommerce
21,akadns.net,Content Servers
22,tiktokv.com,Social Networks;Video Streaming
23,googlesyndication.com,Search Engines;Advertisements
24,akamai.net,Content Servers
25,gvt2.com,Content Servers
26,ntp.org,Technology;Government
27,cloudfront.net,Content Servers;Science;Technology
28,cloudflare-dns.com,Content Servers
29,live.com,Technology;Webmail
30,akamaiedge.net,Content Servers
31,cdn77.org,Content Servers
32,gvt1.com,Content Servers
33,bing.com,Search Engines
34,ytimg.com,Content Servers
35,aaplimg.com,Information Technology;Content Servers;Technology
36,cdninstagram.com,Content Servers
37,netflix.com,Movies;Video Streaming
38,spotify.com,Audio Streaming
39,googleadservices.com,Advertisements
40,google-analytics.com,Business;Technology
41,bytefcdn-oversea.com,Content Servers
42,office.com,Technology
43,snapchat.com,Social Networks
44,yahoo.com,News & Media
45,twitter.com,Social Networks
46,one.one,Information Technology
47,digicert.com,Information Security
48,dns.google,Information Technology
49,app-analytics-services.com,Content Servers
50,unity3d.com,Gaming;Technology
51,app-measurement.com,APIs
52,amazon-adsystem.com,Advertisements
53,fastly.net,Information Security;Information Technology;Technology
54,ttlivecdn.com,Content Servers
55,msftncsi.com,Content Servers
56,applovin.com,Business;Technology
57,ui.com,Technology
58,googletagmanager.com,Content Servers
59,azure.com,Technology
60,samsung.com,Home & Garden;Technology
61,msn.com,News & Media
62,trafficmanager.net,Information Technology;Content Servers
63,ggpht.com,Content Servers
64,rocket-cdn.com,Content Servers
65,skype.com,Instant Messengers;Internet Phone & VOIP
66,lencr.org,Information Technology
67,baidu.com,Search Engines
68,roblox.com,Gaming;Safe for Kids
69,linkedin.com,Professional Networking
70,appsflyersdk.com,Content Servers;APIs
71,criteo.com,Business
72,wikipedia.org,Education
73,bytefcdn-ttpeu.com,Content Servers
74,microsoftonline.com,Technology
75,sentry.io,Business
76,xiaomi.com,Technology
77,taboola.com,Business;Advertisements
78,windows.net,Technology
79,qq.com,News & Media
80,office365.com,Technology
81,gmail.com,Webmail
82,3gppnetwork.org,Content Servers
83,android.com,Technology
84,office.net,Content Servers
85,tiktokcdn-us.com,Content Servers
86,windows.com,Information Technology
87,cdn-apple.com,Content Servers
88,doubleverify.com,Business;Technology
89,windowsupdate.com,Information Technology;Business
90,rbxcdn.com,Content Servers
91,casalemedia.com,Advertisements
92,qlivecdn.com,
93,2mdn.net,Content Servers
94,smartadserver.com,Advertisements
95,miui.com,Technology
96,sharepoint.com,File Sharing;Technology
97,mzstatic.com,Information Technology;Technology
98,crashlytics.com,Information Technology
99,zoom.us,Technology
100,adnxs.com,Content Servers
