issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,website,category
WR2,30-Jul-24,22-Oct-24,CC:57:11:0A:0D:26:BA:7D:5B:E7:8A:7C:DE:73:21:3F:45:25:45:97:29:FE:4E:02:9A:05:36:06:16:10:3C:DC,1361,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",doubleclick.net,Advertising
WR2,30-Jul-24,22-Oct-24,49:3B:14:F0:DB:11:CB:BF:AC:58:1E:5C:85:16:9F:C6:D1:E1:1D:9A:04:D7:7D:30:D2:29:C0:92:C8:4B:5D:4B,3078,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",ads.google.com,Advertising
GlobalSign Atlas R3 DV TLS CA 2023 Q4,25-Nov-23,26-Dec-24,52:50:2F:AA:8F:E0:14:A5:64:D7:00:F1:A2:06:68:9B:54:C8:28:0E:8A:CE:B2:3C:92:A4:BC:AC:81:AF:EE:CF,1643,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",adroll.com,Advertising
R11,15-Jul-24,13-Oct-24,44:AD:60:3E:89:36:49:D1:36:0A:17:FB:DF:BF:DF:02:50:63:CA:CE:87:91:A5:88:60:3F:9B:59:D8:DE:E3:5F,1344,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",criteo.com,Advertising
DigiCert Global G2 TLS RSA SHA256 2020 CA1,30-Jul-24,31-Dec-24,93:8B:97:C4:6E:1A:49:F7:95:14:A1:66:09:A7:97:65:F3:73:1E:10:41:28:3D:C2:23:0C:C2:D6:5E:98:79:D8,1832,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",taboola.com,Advertising
Thawte TLS RSA CA G1,31-Jul-24,27-Nov-24,45:CB:EA:A4:F6:E7:BC:B7:BA:70:E4:EA:4A:DE:76:F7:26:0B:7F:0F:0C:1F:62:C8:FA:AB:8D:A6:6A:45:C5:BC,1645,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",outbrain.com,Advertising
Sectigo RSA Domain Validation Secure Server CA,16-Apr-24,01-May-25,2F:B0:22:CA:A4:B5:A1:E9:8B:E1:05:B2:60:A0:25:49:10:02:7B:ED:59:8B:DF:AB:CF:8F:43:2A:12:D6:7D:ED,1585,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",media.net,Advertising
Sectigo RSA Extended Validation Secure Server CA,23-Aug-23,22-Sep-24,DF:A0:29:49:2D:56:36:DB:4D:0C:E5:59:0F:BD:FF:2B:FF:8E:A3:8E:33:D5:A0:16:FD:C1:A3:56:8A:2C:13:EC,1909,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",propellerads.com,Advertising
E6,29-Jul-24,27-Oct-24,71:AD:AF:74:D6:C9:D7:56:0C:F7:EB:E4:E1:B7:8A:93:A6:29:F9:D5:F3:2C:5C:CE:85:6E:DC:3D:FC:86:16:90,996,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",adsterra.com,Advertising
Sectigo RSA Domain Validation Secure Server CA,26-Oct-23,30-Oct-24,DB:06:55:C5:50:99:06:3E:66:48:14:D6:6F:F2:22:C0:7E:B8:FF:C4:EB:10:E8:FA:4E:C9:1C:53:C5:06:CE:C6,1588,2048,TRUE,"('ECDHE-RSA-AES256-SHA384', 'TLSv1.2', 256)",popads.net,Advertising
Amazon RSA 2048 M02,27-Nov-23,24-Dec-24,AF:BB:4A:98:1E:0C:43:4B:B0:0C:C8:B6:B9:AF:C5:76:6E:5F:8C:05:AC:B1:4C:17:BC:7E:F8:51:41:A5:CA:14,1503,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",revcontent.com,Advertising
Go Daddy Secure Certificate Authority - G2,13-Sep-23,14-Oct-24,D9:DF:5E:DE:30:55:47:AD:F0:5C:60:67:D4:DB:79:02:36:41:CE:62:55:2B:7A:CD:4B:A0:27:F5:A9:67:C4:B9,1670,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",mgid.com,Advertising
