issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
DigiCert Global G3 TLS ECC SHA384 2020 CA1,15-Jan-24,14-Feb-25,68:17:25:22:36:45:1F:24:41:1B:49:1E:66:C1:B3:92:04:34:6B:1E:22:E4:AC:57:5A:21:07:78:94:E4:DC:27,1380,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,pornhub.com,Adult Content
DigiCert Global G3 TLS ECC SHA384 2020 CA1,08-May-24,08-Jun-25,64:75:47:1C:74:7A:1A:96:C3:2B:CD:0D:05:78:A8:CF:9E:29:95:3B:D0:05:D3:2B:BC:52:BB:B5:3A:80:56:DA,1379,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,redtube.com,Adult Content
DigiCert TLS Hybrid ECC SHA384 2020 CA1,22-Apr-24,23-May-25,8C:51:E2:00:4A:AA:BA:BE:44:32:11:A8:77:AE:8D:28:56:EC:C9:79:1A:8E:F8:40:14:87:C8:C8:30:58:17:E1,1371,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,youporn.com,Adult Content
DigiCert Global G3 TLS ECC SHA384 2020 CA1,23-Feb-24,25-Mar-25,7B:A8:41:11:39:4B:ED:C2:99:3C:73:20:69:44:8A:A4:2E:9E:D0:E3:E5:69:BD:3E:96:44:34:E2:AF:61:FE:9E,1383,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,brazzers.com,Adult Content
Cloudflare Inc ECC CA-3,07-Aug-24,31-Dec-24,A7:B4:DB:73:9A:95:B7:DB:5C:46:76:DB:22:B7:7A:CE:EA:B2:69:1F:BB:24:EE:D3:01:3A:A2:EC:25:2C:F5:71,1293,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,onlyfans.com,Adult Content
DigiCert Global G3 TLS ECC SHA384 2020 CA1,30-Jul-24,30-Aug-25,78:70:36:7C:97:E4:0E:5B:8C:BB:1C:37:98:8D:8C:72:74:FA:48:26:11:51:78:88:D9:F0:C3:33:44:4E:CB:2F,1456,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,chaturbate.com,Adult Content
Sectigo ECC Domain Validation Secure Server CA,05-Oct-23,30-Oct-24,D9:92:C8:9C:21:E7:FC:FC:C3:8D:92:D4:D3:0A:11:8E:B3:59:F3:9F:41:F2:31:0A:D6:4E:9B:9E:7D:8B:1B:7E,1222,384,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,camsoda.com,Adult Content
Sectigo ECC Domain Validation Secure Server CA,29-Jul-24,29-Jul-25,C8:7C:BE:66:7F:F1:C1:CF:7B:80:34:32:8F:6A:69:8B:B6:0F:D2:BF:EC:E6:B3:67:B4:0F:63:A3:47:C8:33:3C,1197,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,myfreecams.com,Adult Content
E5,25-Aug-24,23-Nov-24,75:82:54:9B:98:1B:18:92:3B:90:12:8B:3F:FB:AE:18:5A:B2:FE:1A:38:F1:B7:AE:40:58:4E:88:19:F4:2F:2F,900,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,mofos.com,Adult Content
DigiCert Global G3 TLS ECC SHA384 2020 CA1,11-Mar-24,03-Apr-25,87:F8:73:43:9D:7D:B4:8D:FD:06:92:58:14:55:F9:81:78:80:96:B4:62:AC:47:8B:75:0A:A4:A1:4B:42:0F:1E,1396,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,realitykings.com,Adult Content
WR2,30-Jul-24,22-Oct-24,CC:57:11:0A:0D:26:BA:7D:5B:E7:8A:7C:DE:73:21:3F:45:25:45:97:29:FE:4E:02:9A:05:36:06:16:10:3C:DC,1361,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,doubleclick.net,Advertising
WR2,30-Jul-24,22-Oct-24,49:3B:14:F0:DB:11:CB:BF:AC:58:1E:5C:85:16:9F:C6:D1:E1:1D:9A:04:D7:7D:30:D2:29:C0:92:C8:4B:5D:4B,3078,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,ads.google.com,Advertising
E6,29-Jul-24,27-Oct-24,71:AD:AF:74:D6:C9:D7:56:0C:F7:EB:E4:E1:B7:8A:93:A6:29:F9:D5:F3:2C:5C:CE:85:6E:DC:3D:FC:86:16:90,996,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,adsterra.com,Advertising
WE1,28-Jul-24,26-Oct-24,E1:9E:AA:27:DD:00:F6:F4:AB:32:14:FA:EB:BE:3E:9E:93:A3:26:EE:7F:07:A9:14:12:C3:9A:3D:F9:B7:FA:F3,922,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,adf.ly,Advertising
WE1,10-Aug-24,08-Nov-24,35:73:C8:83:46:5F:5F:E0:1D:4E:4B:B1:FE:C4:5B:F7:1E:72:5D:BF:A3:35:31:FD:F2:1A:24:11:C3:6F:07:DD,941,256,TRUE,"('ECDHE-ECDSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,infolinks.com,Advertising
E5,22-Jul-24,20-Oct-24,46:B8:28:1F:2B:4E:3E:28:15:FB:41:80:B0:26:3E:8D:7A:95:67:38:6B:37:C3:B2:CA:35:ED:6C:27:F7:82:A0,911,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,exoclick.com,Advertising
