category,TLS 1.2,TLS 1.3
AI Experimentation Platforms,2,17
APIs,0,1
Advertisements,0,4
Advertising,5,14
Alternative Medicine,3,8
Astronomy and Space Exploration,4,8
Audio Streaming,0,1
Banking,8,30
Blogging/Publishing,2,17
Business,0,1
Business;Technology,0,3
Communication,2,13
Content Servers,0,5
Content Servers;Personal Blogs,0,1
Cryptocurrency,4,15
Curated Playlist Communities,0,14
DIY/Home Improvement,1,12
Data Visualization and Infographics,3,14
Digital Escape Rooms,1,11
Digital Gardens,0,15
E-commerce,4,23
Ecommerce,0,1
Education,6,22
Entertainment,8,58
Environment/Nature,0,19
Ethical Hacking and Cybersecurity,4,9
Extreme Sports,2,5
Fashion/Beauty,3,17
File Sharing/Storage,6,12
File Sharing;Content Servers,0,1
File Sharing;Technology,0,1
Finance,1,4
Finance/Banking,3,16
Fitness/Exercise,2,12
Food/Cooking,4,15
Forums/Community,4,13
Gaming,7,19
Gaming;Safe for Kids,0,1
Gaming;Technology,1,0
Health/Wellness,10,25
History,2,17
Hobbies/Crafts,4,13
Home & Garden;Technology,1,0
Hyper-Specific Forums,0,16
Information Security,0,1
Information Security;Information Technology;Technology,1,0
Information Technology,0,5
Information Technology;Business,0,1
Information Technology;Technology,0,2
Instant Messengers;Internet Phone & VOIP,0,2
Interactive Storytelling,2,16
Jobs/Careers,7,25
Micro-Learning Platforms,3,14
Minimalist Living,0,10
Movies;Video Streaming,0,1
Music,4,11
News & Media,1,2
News/Media,30,63
Obscure Game Archives,2,13
Oddly Satisfying,3,9
Off-Grid Living,0,8
Online Memorials,0,12
Paranormal and Mysteries,1,6
Parenting,2,15
Photography,4,15
Professional Networking,0,1
Random Knowledge Generators,1,17
Rare Animal Conservation,1,6
Real Estate,4,19
Reference,3,26
Science/Research,3,10
Search Engine,0,1
Search Engines,1,2
Search Engines;Advertisements,0,1
Shopping/E-commerce,8,16
Social Media,7,26
Social Networks,0,5
Social Networks;Video Streaming,0,1
Survival Skills,0,10
Tech/Hardware,7,6
Tech/Services,9,62
Technology,2,7
Technology;Government,1,0
Technology;Webmail,0,1
Time Capsule Websites,2,4
Traditional Handicrafts,0,5
Travel,2,9
Travel/Transportation,4,15
Video Streaming,0,1
Virtual Travel and Exploration,4,10
Webmail,0,1
